epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.2379,1.14941,1.75995,1.46517,0.55883,0.27041,0.27065,0.13698,1.88843,3.66489,2.42196,0.000473657,0.000473657,0.000473657
2,181.7,1.41049,1.88858,1.6481,0.22975,0.36806,0.17637,0.07007,2.1568,2.70262,2.67596,0.000940586,0.000940586,0.000940586
3,272.531,1.41286,1.86549,1.64477,0.62737,0.32156,0.26365,0.13377,2.02388,3.05867,2.47465,0.00139808,0.00139808,0.00139808
4,363.222,1.36239,1.75316,1.5992,0.30519,0.40127,0.24554,0.12078,1.8462,2.99701,2.38902,0.00138656,0.00138656,0.00138656
5,456.066,1.3043,1.6175,1.56163,0.64961,0.57438,0.60468,0.3923,1.35384,1.4707,1.80863,0.00137241,0.00137241,0.00137241
6,546.312,1.23596,1.5129,1.50135,0.44052,0.47445,0.39057,0.22666,1.47853,2.20009,1.90566,0.00135826,0.00135826,0.00135826
7,637.2,1.1542,1.3992,1.44855,0.81462,0.19253,0.2411,0.15895,1.35198,3.02671,1.77818,0.00134412,0.00134412,0.00134412
8,728.566,1.11922,1.3079,1.42102,0.66647,0.65671,0.70191,0.49091,1.14489,1.3355,1.54061,0.00132997,0.00132997,0.00132997
9,821.109,1.09239,1.26999,1.40076,0.6627,0.66838,0.68597,0.48733,1.07969,1.25782,1.50397,0.00131582,0.00131582,0.00131582
10,915.594,1.0795,1.23039,1.3913,0.80074,0.62211,0.73368,0.53394,1.03806,1.13213,1.47359,0.00130168,0.00130168,0.00130168
11,1007.35,1.06642,1.16616,1.37603,0.74285,0.66347,0.7334,0.50681,1.09669,1.05974,1.49049,0.00128753,0.00128753,0.00128753
12,1099.2,1.03903,1.15625,1.36143,0.72643,0.68726,0.78041,0.58614,0.92707,1.05139,1.35068,0.00127338,0.00127338,0.00127338
13,1192.52,1.01024,1.10107,1.34356,0.7683,0.68829,0.78804,0.58574,0.96072,1.00388,1.40374,0.00125923,0.00125923,0.00125923
14,1289.45,0.99593,1.07566,1.31924,0.80314,0.72994,0.80434,0.60113,0.95063,0.88938,1.3828,0.00124509,0.00124509,0.00124509
15,1381.08,0.96489,1.04861,1.30084,0.7381,0.67528,0.75174,0.55615,0.95908,1.00933,1.36987,0.00123094,0.00123094,0.00123094
16,1475.82,0.97154,1.01798,1.30944,0.67346,0.7261,0.77663,0.57264,0.92647,1.02519,1.35725,0.00121679,0.00121679,0.00121679
17,1568.68,0.96876,1.02083,1.30411,0.81331,0.73553,0.82141,0.62337,0.88102,0.84466,1.29382,0.00120265,0.00120265,0.00120265
18,1659.74,0.94899,0.98397,1.28154,0.79653,0.66508,0.78326,0.58111,0.97647,1.02312,1.45306,0.0011885,0.0011885,0.0011885
19,1749.83,0.93022,0.95572,1.27402,0.82711,0.71442,0.80712,0.61962,0.86671,0.87128,1.32963,0.00117435,0.00117435,0.00117435
20,1842.13,0.9074,0.90771,1.26364,0.83763,0.74946,0.8394,0.64823,0.84401,0.76497,1.284,0.00116021,0.00116021,0.00116021
21,1957.62,0.90371,0.91613,1.26505,0.78096,0.76822,0.83331,0.62462,0.88844,0.92164,1.32671,0.00114606,0.00114606,0.00114606
22,2047.71,0.89554,0.88482,1.2484,0.85553,0.73722,0.84927,0.65618,0.87202,0.75935,1.31122,0.00113191,0.00113191,0.00113191
23,2144.2,0.89329,0.86659,1.24962,0.834,0.79039,0.86662,0.67196,0.80734,0.70766,1.25944,0.00111776,0.00111776,0.00111776
24,2248.35,0.91561,0.91677,1.2604,0.84857,0.78237,0.8646,0.67268,0.79234,0.76055,1.25154,0.00110362,0.00110362,0.00110362
25,2339.02,0.86928,0.87051,1.24353,0.81777,0.77337,0.84785,0.65192,0.8197,0.7762,1.25181,0.00108947,0.00108947,0.00108947
26,2429.93,0.87297,0.86571,1.23684,0.83785,0.82098,0.87937,0.69282,0.79561,0.71526,1.23254,0.00107532,0.00107532,0.00107532
27,2520.97,0.8665,0.84417,1.22915,0.81409,0.76569,0.84804,0.66995,0.80842,0.7768,1.25006,0.00106118,0.00106118,0.00106118
28,2633.3,0.8785,0.84002,1.23944,0.77623,0.79417,0.87869,0.68588,0.78183,0.7262,1.22174,0.00104703,0.00104703,0.00104703
29,2722.99,0.85906,0.82577,1.22177,0.84187,0.81134,0.88028,0.6918,0.77533,0.69295,1.20586,0.00103288,0.00103288,0.00103288
30,2813.97,0.83033,0.8086,1.21325,0.7971,0.80459,0.86399,0.69087,0.74619,0.71137,1.20696,0.00101873,0.00101873,0.00101873
31,2915.97,0.82191,0.7946,1.20333,0.83122,0.83665,0.89302,0.71395,0.75211,0.63587,1.20551,0.00100459,0.00100459,0.00100459
32,3017.36,0.83384,0.7793,1.21145,0.8376,0.8289,0.89642,0.71439,0.75508,0.62915,1.19529,0.00099044,0.00099044,0.00099044
33,3109.3,0.83546,0.78528,1.21396,0.84926,0.80581,0.87688,0.70318,0.73726,0.66213,1.17874,0.000976293,0.000976293,0.000976293
34,3202.9,0.80899,0.76265,1.18877,0.86037,0.80658,0.88475,0.7198,0.71368,0.63429,1.16364,0.000962146,0.000962146,0.000962146
35,3319.99,0.80843,0.72684,1.18966,0.71462,0.62607,0.70176,0.53064,0.91221,1.60222,1.333,0.000947999,0.000947999,0.000947999
36,3419.1,0.80225,0.72994,1.18688,0.85046,0.82326,0.89671,0.7125,0.73741,0.58623,1.19939,0.000933851,0.000933851,0.000933851
37,3508.58,0.78806,0.72096,1.19185,0.83874,0.85651,0.90788,0.7283,0.72375,0.57258,1.1597,0.000919704,0.000919704,0.000919704
38,3598.07,0.81059,0.73188,1.1967,0.82839,0.84805,0.89919,0.71982,0.73226,0.65292,1.18715,0.000905557,0.000905557,0.000905557
39,3687.51,0.78658,0.6905,1.18208,0.79544,0.76932,0.85727,0.67742,0.7563,0.77139,1.20896,0.00089141,0.00089141,0.00089141
40,3776.92,0.77425,0.69654,1.17661,0.85953,0.84373,0.89664,0.73824,0.69319,0.58058,1.15796,0.000877263,0.000877263,0.000877263
41,3866.37,0.79076,0.72187,1.18202,0.86531,0.87305,0.92033,0.74935,0.68151,0.57477,1.13943,0.000863116,0.000863116,0.000863116
42,3955.89,0.75362,0.67074,1.15736,0.87016,0.84864,0.91237,0.73888,0.68917,0.56021,1.16065,0.000848969,0.000848969,0.000848969
43,4045.72,0.76265,0.67748,1.16899,0.8749,0.87048,0.92286,0.75275,0.66905,0.52891,1.13393,0.000834822,0.000834822,0.000834822
44,4136.26,0.74723,0.65611,1.15619,0.82324,0.87722,0.90159,0.7333,0.6867,0.57149,1.14128,0.000820675,0.000820675,0.000820675
45,4250.82,0.74881,0.67428,1.15161,0.85762,0.87572,0.92597,0.74957,0.67262,0.52206,1.14551,0.000806528,0.000806528,0.000806528
46,4340.63,0.74865,0.64845,1.15507,0.86828,0.87109,0.91927,0.73361,0.69756,0.54714,1.15728,0.00079238,0.00079238,0.00079238
47,4430.09,0.76014,0.6617,1.15529,0.88064,0.85541,0.92476,0.76462,0.64674,0.52827,1.10603,0.000778233,0.000778233,0.000778233
48,4519.65,0.73106,0.6431,1.1461,0.8992,0.8589,0.91779,0.74508,0.67412,0.51548,1.13651,0.000764086,0.000764086,0.000764086
49,4609.07,0.73256,0.6218,1.1451,0.87693,0.8669,0.92029,0.76044,0.6621,0.5227,1.11982,0.000749939,0.000749939,0.000749939
50,4698.58,0.73058,0.62914,1.15109,0.89634,0.85274,0.92501,0.76576,0.64765,0.52057,1.11546,0.000735792,0.000735792,0.000735792
51,4788.15,0.72517,0.61636,1.13907,0.87801,0.8579,0.9198,0.75652,0.67043,0.57167,1.13283,0.000721645,0.000721645,0.000721645
52,4878.14,0.73139,0.61768,1.14791,0.8618,0.89397,0.92314,0.75521,0.66824,0.51763,1.14059,0.000707498,0.000707498,0.000707498
53,4967.76,0.70133,0.5907,1.13195,0.89698,0.87285,0.92545,0.76215,0.66215,0.51357,1.12779,0.000693351,0.000693351,0.000693351
54,5057.3,0.70273,0.58687,1.12585,0.89078,0.88321,0.93419,0.77882,0.62839,0.45602,1.09086,0.000679204,0.000679204,0.000679204
55,5147.29,0.7191,0.61434,1.13815,0.89156,0.87246,0.92667,0.76632,0.6537,0.47861,1.133,0.000665057,0.000665057,0.000665057
56,5236.93,0.71433,0.59961,1.12969,0.86697,0.88713,0.93689,0.78431,0.61643,0.46506,1.08578,0.000650909,0.000650909,0.000650909
57,5326.56,0.7035,0.57559,1.12682,0.86364,0.78489,0.89086,0.71917,0.68209,0.61015,1.14773,0.000636762,0.000636762,0.000636762
58,5416.11,0.69419,0.56848,1.12474,0.88907,0.85802,0.93049,0.77836,0.61687,0.49631,1.08794,0.000622615,0.000622615,0.000622615
59,5505.62,0.69849,0.57554,1.12344,0.89096,0.88251,0.93324,0.7784,0.61558,0.4801,1.08702,0.000608468,0.000608468,0.000608468
60,5595.14,0.67917,0.57077,1.11802,0.88289,0.87645,0.92589,0.77287,0.63329,0.50891,1.09291,0.000594321,0.000594321,0.000594321
61,5684.61,0.67685,0.55501,1.1123,0.88424,0.89399,0.93712,0.77374,0.6391,0.47237,1.11762,0.000580174,0.000580174,0.000580174
62,5773.96,0.67473,0.55009,1.10817,0.90237,0.88795,0.94275,0.77946,0.63759,0.45406,1.10936,0.000566027,0.000566027,0.000566027
63,5863.48,0.67085,0.54275,1.10405,0.89628,0.88041,0.92957,0.78108,0.62105,0.47007,1.08932,0.00055188,0.00055188,0.00055188
64,5952.99,0.67451,0.54082,1.11287,0.86405,0.88831,0.93104,0.77405,0.63704,0.49521,1.11265,0.000537733,0.000537733,0.000537733
65,6042.53,0.6749,0.54422,1.11595,0.90341,0.86967,0.93374,0.79017,0.60789,0.4479,1.07829,0.000523586,0.000523586,0.000523586
66,6132.36,0.67779,0.53509,1.10499,0.90818,0.90152,0.94544,0.79181,0.60366,0.45024,1.07841,0.000509438,0.000509438,0.000509438
67,6222.04,0.65425,0.52113,1.10085,0.89457,0.89059,0.93827,0.7985,0.58766,0.44907,1.07016,0.000495291,0.000495291,0.000495291
68,6311.7,0.63954,0.52316,1.0957,0.89808,0.88321,0.94241,0.78976,0.60205,0.44937,1.07985,0.000481144,0.000481144,0.000481144
69,6401.25,0.65624,0.52315,1.0994,0.90457,0.8868,0.94512,0.80376,0.5879,0.42234,1.05902,0.000466997,0.000466997,0.000466997
70,6490.91,0.64471,0.51303,1.08836,0.90386,0.89655,0.94433,0.80502,0.56839,0.42539,1.04811,0.00045285,0.00045285,0.00045285
71,6580.54,0.63841,0.49802,1.09667,0.88515,0.9115,0.94222,0.80299,0.57841,0.43695,1.06658,0.000438703,0.000438703,0.000438703
72,6670.11,0.62924,0.50257,1.09004,0.91827,0.8923,0.94797,0.79532,0.60495,0.43919,1.07957,0.000424556,0.000424556,0.000424556
73,6759.71,0.63225,0.48998,1.08775,0.91453,0.91381,0.94684,0.80024,0.57814,0.41691,1.0583,0.000410409,0.000410409,0.000410409
74,6849.23,0.64484,0.50353,1.09432,0.91902,0.89554,0.94497,0.80659,0.5671,0.4114,1.04447,0.000396262,0.000396262,0.000396262
75,6938.88,0.61911,0.48543,1.08501,0.90548,0.91367,0.95008,0.80553,0.5756,0.40499,1.06208,0.000382115,0.000382115,0.000382115
76,7028.41,0.62641,0.47702,1.08385,0.89978,0.91966,0.95037,0.80595,0.56672,0.39881,1.05786,0.000367967,0.000367967,0.000367967
77,7117.84,0.60673,0.46559,1.07541,0.91825,0.89727,0.94568,0.80514,0.57252,0.39908,1.06172,0.00035382,0.00035382,0.00035382
78,7207.38,0.6058,0.47846,1.07443,0.89895,0.90907,0.94695,0.80588,0.56805,0.40243,1.05195,0.000339673,0.000339673,0.000339673
79,7296.9,0.61837,0.46817,1.08339,0.91847,0.89567,0.94514,0.79958,0.57853,0.41072,1.0538,0.000325526,0.000325526,0.000325526
80,7386.79,0.60896,0.45795,1.07038,0.90788,0.92096,0.949,0.81107,0.55263,0.39787,1.04024,0.000311379,0.000311379,0.000311379
81,7476.46,0.60605,0.46216,1.07672,0.90416,0.90424,0.94682,0.80705,0.56687,0.39575,1.05702,0.000297232,0.000297232,0.000297232
82,7566.08,0.59803,0.45572,1.06916,0.91132,0.90439,0.94689,0.81056,0.56379,0.39432,1.04322,0.000283085,0.000283085,0.000283085
83,7655.63,0.59225,0.45347,1.06716,0.90588,0.91183,0.94637,0.81301,0.55761,0.40494,1.05012,0.000268938,0.000268938,0.000268938
84,7745.36,0.59805,0.45153,1.06738,0.91648,0.91947,0.95281,0.82082,0.55406,0.38748,1.04615,0.000254791,0.000254791,0.000254791
85,7835,0.58568,0.43547,1.05676,0.9123,0.92021,0.95199,0.81807,0.55276,0.38887,1.04359,0.000240644,0.000240644,0.000240644
86,7924.6,0.57631,0.42751,1.0569,0.91032,0.91177,0.94596,0.81586,0.54754,0.39291,1.03507,0.000226497,0.000226497,0.000226497
87,8014.23,0.57671,0.42883,1.06038,0.90475,0.92248,0.94977,0.82086,0.54303,0.39101,1.03063,0.000212349,0.000212349,0.000212349
88,8103.87,0.5839,0.42744,1.05848,0.89667,0.93408,0.95167,0.81807,0.54638,0.38262,1.03363,0.000198202,0.000198202,0.000198202
89,8193.39,0.57531,0.42013,1.0545,0.8994,0.93096,0.95281,0.82158,0.54678,0.37883,1.03205,0.000184055,0.000184055,0.000184055
90,8283.09,0.56434,0.42153,1.05105,0.89277,0.9405,0.9549,0.81967,0.53969,0.37877,1.03173,0.000169908,0.000169908,0.000169908
91,8371.54,0.49858,0.35586,1.02637,0.91622,0.91115,0.95222,0.81525,0.5485,0.38021,1.04248,0.000155761,0.000155761,0.000155761
92,8460.17,0.46884,0.33047,1.01325,0.91301,0.91721,0.95221,0.81722,0.5478,0.37984,1.04476,0.000141614,0.000141614,0.000141614
93,8548.54,0.45816,0.31223,1.00209,0.90258,0.92577,0.95108,0.8193,0.54343,0.37714,1.04045,0.000127467,0.000127467,0.000127467
94,8636.81,0.46157,0.31095,1.00837,0.91278,0.92626,0.95331,0.81982,0.54391,0.37697,1.04028,0.00011332,0.00011332,0.00011332
95,8725.19,0.44472,0.29756,0.99404,0.89649,0.92633,0.95303,0.81966,0.53759,0.37639,1.02989,9.91726e-05,9.91726e-05,9.91726e-05
96,8813.57,0.44486,0.29397,0.99327,0.91557,0.91998,0.95295,0.82439,0.53722,0.37268,1.03759,8.50255e-05,8.50255e-05,8.50255e-05
97,8901.98,0.44843,0.28775,0.99344,0.91754,0.91593,0.95317,0.82296,0.5398,0.37029,1.03825,7.08784e-05,7.08784e-05,7.08784e-05
98,8990.34,0.43369,0.27663,0.98035,0.912,0.9254,0.95108,0.82336,0.54139,0.37655,1.04093,5.67313e-05,5.67313e-05,5.67313e-05
99,9078.61,0.43736,0.28628,0.98268,0.90813,0.92833,0.95421,0.82601,0.53525,0.36994,1.03364,4.25842e-05,4.25842e-05,4.25842e-05
100,9166.92,0.42506,0.27578,0.98821,0.91125,0.9241,0.95406,0.82525,0.5332,0.36812,1.03308,2.84371e-05,2.84371e-05,2.84371e-05
